bcell,epi,fib
1,0.0426079904646488,0.94665371594793,0.0107382935874215
2,0.0190481050563239,0.900177725195073,0.0807741697486034
3,0.0200586525148566,0.927999013503233,0.0519423339819101
4,0.0273163276929098,0.941807292886632,0.0308763794204578
5,0.0170149091461301,0.974046547330724,0.00893854352314568
6,0.0753451427026545,0.852816507124738,0.0718383501726074
7,0.0383179516708257,0.906767178671338,0.0549148696578363
8,0.0802196948055948,0.894447500631524,0.0253328045628806
9,0.146499449586986,0.80706575385866,0.0464347965543538
10,0.00734399112510522,0.895792434338508,0.096863574536387
11,0.0356970670091018,0.900845598967019,0.0634573340238788
12,0.00350326131748347,0.984866189533318,0.0116305491491991
13,0.131592137482231,0.789775871294536,0.0786319912232327
14,0.0309346059246804,0.920012790763374,0.0490526033119456
15,0.0347127605223466,0.962256567057881,0.00303067241977268
16,0.108417680851707,0.867203602551025,0.0243787165972685
17,0.0751231558637307,0.914092443916928,0.0107844002193413
18,0.018906873909107,0.961743321900578,0.0193498041903148
19,0.025253683759837,0.893946387170402,0.0807999290697613
20,0.0698268360904375,0.923553459652968,0.00661970425659513
21,0.0089215961698908,0.833710953661439,0.15736745016867
22,0.125093524187198,0.849094701302672,0.0258117745101302
23,0.0236303940780414,0.920677150215233,0.0556924557067257
24,0.0771183065292508,0.897415383947961,0.0254663095227886
25,0.0447145511770262,0.954947770421111,0.000337678401863155
26,0.000460508171314563,0.954190685838837,0.0453488059898487
27,0.0587744565703566,0.898837398114869,0.0423881453147741
28,0.0144198511331554,0.898577150322996,0.0870029985438489
29,0.0530234905966322,0.93483141035109,0.0121450990522775
30,0.0587063395579984,0.916705916106282,0.0245877443357197
31,0.00947206261472906,0.98432334368754,0.00620459369773063
32,0.160418336217202,0.829745868611963,0.00983579517083464
33,0.0599457486050018,0.864588346228027,0.0754659051669709
34,0.143663808174834,0.847414039809559,0.00892215201560747
35,0.0151741071501579,0.956323803452893,0.028502089396949
36,0.0416557687148908,0.927175617431925,0.0311686138531839
37,0.0432643370338841,0.938595112699813,0.0181405502663033
38,0.0375875824396955,0.95122579618841,0.0111866213718944
39,0.0465053012384529,0.93418080756593,0.0193138911956175
40,0.167552785413281,0.794525597734325,0.0379216168523942
41,0.0894203474664739,0.803151979054212,0.107427673479314
42,0.155081138001351,0.815039528644074,0.0298793333545754
43,0.00156103424238947,0.990250535020101,0.00818843073750924
44,0.023816616661871,0.9759447084828,0.000238674855329411
45,0.105432066767889,0.891049667151222,0.00351826608088923
46,0.00820746360711066,0.949732085862791,0.0420604505300984
47,0.0438865465693475,0.941881135110942,0.0142323183197107
48,0.172942970480108,0.754325793767956,0.0727312357519366
49,0.0234658737599417,0.946023384955401,0.0305107412846573
50,0.0466402776373024,0.92950213038721,0.0238575919754872
51,0.00100712265147647,0.992256162480823,0.00673671486769997
52,0.00619407057136374,0.893875681870024,0.0999302475586118
53,0.0294996070782064,0.904621162381977,0.0658792305398162
54,0.0295927647154041,0.946855596974222,0.0235516383103738
55,0.0152274761736806,0.978152750787283,0.00661977303903675
56,0.0251080594706139,0.973483315866873,0.00140862466251357
57,0.0756911167972498,0.89595272868095,0.0283561545218005
58,0.0172257507938728,0.979810938126714,0.00296331107941291
59,0.0312929468848913,0.942715662890224,0.0259913902248852
60,0.0583282350192128,0.927944300446116,0.0137274645346717
61,0.0074591036907509,0.959456476483114,0.0330844198261353
62,0.00982539542047088,0.982125945212194,0.00804865936733559
63,0.0630063212704637,0.909150733958949,0.0278429447705873
64,0.0190727781519844,0.949997574315791,0.0309296475322248
65,0.0555901081101991,0.910384598986851,0.0340252929029504
66,0.00537309074891027,0.978456066802273,0.0161708424488172
67,0.0325519098272246,0.957015686306602,0.0104324038661738
68,0.0394548989731444,0.942460307809823,0.0180847932170329
69,0.0691635193861999,0.907177479880679,0.0236590007331212
70,0.083783458258055,0.913604084501991,0.00261245723995406
71,0.104482107498213,0.851136952256558,0.044380940245229
72,0.00238719274768182,0.963556172226468,0.0340566350258503
73,0.0492926117208287,0.936095305590001,0.0146120826891702
74,0.0324848489097475,0.936209610830881,0.0313055402593719
75,0.0297792240194991,0.953298326717408,0.0169224492630928
76,0.00947901934695759,0.845011741962122,0.14550923869092
77,0.0965411010065747,0.836569483747799,0.0668894152456259
78,0.00686761504046117,0.991078067154248,0.00205431780529136
79,0.0299687244343708,0.855811506857647,0.114219768707983
80,0.092822757877678,0.849014990657883,0.0581622514644385
81,0.0706911740269056,0.883353974551886,0.0459548514212087
82,0.0344003697426894,0.928550191052173,0.0370494392051374
83,0.00335604264497912,0.978174642663906,0.0184693146911146
84,0.0043886363367332,0.933302995050183,0.0623083686130843
85,0.0427626571265144,0.930945872994748,0.0262914698787377
86,0.0407166631432361,0.952357814803886,0.00692552205287778
87,0.0222650481244127,0.97345677162409,0.00427818025149764
88,0.0630349163989681,0.904340622748768,0.0326244608522642
89,0.00471406794084595,0.969773171709249,0.0255127603499048
90,0.0690353622487135,0.921846232206853,0.00911840554443309
91,0.0328062115656992,0.851683562210152,0.115510226224149
92,0.101600197188563,0.736046166083122,0.162353636728314
93,0.0406542482728731,0.919227993197675,0.0401177585294517
94,0.0294139951692191,0.943130521279691,0.0274554835510903
95,0.0570925051920244,0.803585120673893,0.139322374134082
96,0.00395249055815752,0.952253973350577,0.043793536091265
97,0.0125858685050697,0.943442114239656,0.0439720172552742
98,0.0225608114173001,0.976088573996952,0.00135061458574748
99,0.160776359805551,0.830906511392174,0.00831712880227541
100,0.0635768496079062,0.908534227129101,0.0278889232629932
